	NK.c06.CD56brightCD16lo.CREM	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c02.CD56brightCD16lo.GZMH	NK.c13.CD56dimCD16hi.NR4A3	NK.c12.CD56dimCD16hi.DNAJB1	NK.c10.CD56dimCD16hi.NFKBIA	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c01.CD56brightCD16hi	NK.c09.CD56dimCD16hi.ZNF90	NK.c11.CD56dimCD16hi.MKI67
GPR160	1.43E-06	1.00E-08	1.38E-05	1.00E-08	1.00E-08	1.21E-06	1.26E-06	2.30E-06	4.22E-06	3.77E-06	1.00E-08	1.00E-08	1.00E-08
PHC3	6.41E-05	0.000114782	5.52E-05	8.04E-05	0.000132378	5.12E-05	4.51E-05	7.34E-05	5.47E-05	7.15E-05	0.000334421	9.19E-05	4.71E-05
PRKCI	1.93E-05	2.07E-05	6.21E-05	3.45E-05	2.04E-05	1.58E-05	2.08E-05	1.76E-05	4.22E-06	2.45E-05	0.000107499	1.53E-05	1.81E-05
SKIL	0.000542459	0.000320415	0.000372764	0.000218188	9.16E-05	0.000419045	0.000209576	0.000176722	9.26E-05	9.03E-05	0.000489683	0.000107173	0.000108583
CLDN11	3.27E-07	1.60E-06	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
EIF5A2	3.20E-05	3.03E-05	2.07E-05	1.00E-08	5.09E-05	4.48E-05	4.12E-05	3.14E-05	5.05E-05	3.20E-05	4.78E-05	7.66E-05	3.62E-05
TNIK	7.47E-05	0.000103623	8.28E-05	8.04E-05	0.000101831	0.00013064	0.00013144	0.000107108	0.000143118	0.000165508	0.000226932	7.66E-05	8.32E-05
PLD1	4.13E-06	1.44E-05	2.07E-05	4.59E-05	1.00E-08	5.74E-06	5.01E-06	6.89E-06	1.26E-05	5.65E-06	2.39E-05	1.53E-05	1.00E-08
FNDC3B	9.04E-05	0.000127534	0.000103553	5.74E-05	8.15E-05	0.000123077	0.000168496	0.000110168	0.0001347	0.000135418	0.000226932	9.19E-05	2.90E-05
GHSR	1.28E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-06	2.79E-06	2.30E-06	1.00E-08	1.89E-06	1.00E-08	1.00E-08	1.00E-08
TNFSF10	0.00011366	0.000173762	0.000103553	0.000849757	0.000234199	3.17E-05	5.91E-05	5.66E-05	3.79E-05	6.40E-05	0.000226932	6.12E-05	7.96E-05
NCEH1	1.01E-05	2.39E-05	1.00E-08	1.00E-08	1.00E-08	1.32E-05	1.07E-05	9.95E-06	4.22E-06	7.53E-06	1.00E-08	1.00E-08	7.25E-06
