"CD8.c06.Tem.GZMK"	"CD8.c07.Temra.CX3CR1"	"CD8.c02.Tm.IL7R"	"CD8.c16.MAIT.SLC4A10"	"CD8.c01.Tn.MAL"	"CD8.c05.Tem.CXCR5"	"CD8.c09.Tk.KIR2DL4"	"CD8.c03.Tm.RPS12"	"CD8.c04.Tm.CD52"	"CD8.c10.Trm.ZNF683"	"CD8.c17.Tm.NME1"	"CD8.c15.ISG.IFIT1"	"CD8.c08.Tk.TYROBP"	"CD8.c11.Tex.PDCD1"	"CD8.c14.Tex.TCF7"	"CD8.c12.Tex.CXCL13"
"HES2"	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	3.33911178061778e-07	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
"ESPN"	1e-08	1e-08	1.00550094386211e-06	1.37514232928888e-05	1e-08	1.06638386980215e-06	1e-08	1e-08	1e-08	6.57822356123556e-07	1e-08	1e-08	1e-08	1e-08	1e-08	5.9086662497714e-06
"TNFRSF25"	2.1928899730592e-05	1.27667727818829e-05	2.43997731246217e-05	0.000174722381866729	6.89249022261107e-05	1.05738386980215e-05	5.00680271462911e-06	1.53663179800648e-05	5.36153694801365e-05	2.0416404217892e-05	1.84410350421206e-05	3.41726367543854e-05	8.93904223113262e-06	2.42399054300479e-05	7.62214176281715e-05	3.54019974986284e-05
"PLEKHG5"	1e-08	5.41532199245123e-07	2.00100188772422e-06	1e-08	1.41642657604308e-06	5.38191934901077e-07	1e-08	1e-08	3.58369129867577e-06	2.27737824643245e-06	1e-08	3.42626367543854e-06	1e-08	1e-08	1e-08	1e-08
"NOL9"	4.03869205563536e-05	2.65866099622561e-05	3.03727787877943e-05	3.73081489378411e-05	3.37642378250338e-05	2.90605564195593e-05	4.4981224431662e-05	2.15088451720907e-05	3.57469129867577e-05	3.53163184087338e-05	1.84410350421206e-05	3.07563730789468e-05	3.57261689245305e-05	2.42399054300479e-05	3.81157088140858e-05	2.36046649990856e-05
"ZBTB48"	9.23901041288082e-06	2.23343523682951e-05	1.7929016989518e-05	5.89918141123807e-06	1.26678391843877e-05	1.53275661121312e-05	2.49940135731456e-05	1.84375815760778e-05	3.0386376038744e-05	2.00924930398302e-05	1.84410350421206e-05	2.39238457280698e-05	8.93904223113262e-06	6.06747635751198e-06	9.53642720352144e-06	2.9503331248857e-05
"KLHL21"	3.69260416515233e-05	2.49920133645208e-05	2.63907750123459e-05	3.53450884674284e-05	2.25128252166892e-05	3.32860918987679e-05	2.99908162877747e-05	2.45801087681037e-05	2.32389934413925e-05	2.52750718888187e-05	3.68720700842412e-05	1.02587910263156e-05	3.57261689245305e-05	3.02973817875599e-05	6.66949904246501e-05	6.48953287474854e-05
"PHF13"	1.50071419209313e-05	1.54244337781086e-05	9.46725896669003e-06	2.94559070561904e-05	4.22927972812923e-06	1.00456467631205e-05	5.00680271462911e-06	3.08126359601296e-06	1.07310738960273e-05	1.00512465199151e-05	1.84410350421206e-05	1.70913183771927e-05	2.67971266933979e-05	1e-08	9.53642720352144e-06	5.9086662497714e-06
"THAP3"	1.03926367144909e-05	1.38298371803732e-05	1.09605103824832e-05	1.57144837633015e-05	1.26678391843877e-05	1.42711822423291e-05	1.00036054292582e-05	6.15252719202592e-06	2.85995303894062e-05	1.19947135882858e-05	9.22551752106029e-06	1.02587910263156e-05	2.67971266933979e-05	1.81824290725359e-05	2.85892816105643e-05	5.9086662497714e-06
"DNAJC11"	1.38535156193212e-05	1.32983049811281e-05	1.09605103824832e-05	1.17883628224761e-05	2.39192517927323e-05	1.42711822423291e-05	1.50004081438873e-05	1.84375815760778e-05	2.32389934413925e-05	1.19947135882858e-05	9.22551752106029e-06	1.70913183771927e-05	1.78680844622652e-05	3.02973817875599e-05	5.71685632211287e-05	1.77059987493142e-05
